"subjId","fanSpeed","TSV","fanType"
"1","0","0","downstream"
"2","1","1","downstream"
"3","1","0","downstream"
"4","0","0","downstream"
"5","1","0","downstream"
"6","0","1","downstream"
"7","0","0","downstream"
"8","0","1","downstream"
"9","0","0","downstream"
"10","0","0","downstream"
"11","0","0","downstream"
"12","0","0","downstream"
"13","0","0","downstream"
"14","0","0","downstream"
"15","0","0","downstream"
"16","0","0","downstream"
"17","0","1","downstream"
"18","0","0","downstream"
"19","0","1","downstream"
"20","0","1","downstream"
"21","1","0","downstream"
"1","0","0","downstream"
"2","0","0","downstream"
"3","0","0","downstream"
"4","0","0","downstream"
"5","0","0","downstream"
"6","1","1","downstream"
"7","0","0","downstream"
"8","0","0","downstream"
"9","0","0","downstream"
"10","1","0","downstream"
"11","0","0","downstream"
"12","0","0","downstream"
"13","0","0","downstream"
"14","0","0","downstream"
"15","0","0","downstream"
"16","0","0","downstream"
"17","0","0","downstream"
"18","0","0","downstream"
"19","0","0","downstream"
"20","0","0","downstream"
"21","0","0","downstream"
"1","1","0","downstream"
"2","0","0","downstream"
"3","0","0","downstream"
"4","2","0","downstream"
"5","0","0","downstream"
"6","1","1","downstream"
"7","2","0","downstream"
"8","1","0","downstream"
"9","0","1","downstream"
"10","1","0","downstream"
"11","0","0","downstream"
"12","1","0","downstream"
"13","0","1","downstream"
"14","1","0","downstream"
"15","0","1","downstream"
"16","0","1","downstream"
"17","0","1","downstream"
"18","0","0","downstream"
"19","0","1","downstream"
"20","0","1","downstream"
"21","0","0","downstream"
"1","1","1","downstream"
"2","0","0","downstream"
"3","2","1","downstream"
"4","2","0","downstream"
"5","0","0","downstream"
"6","1","1","downstream"
"7","2","0","downstream"
"8","1","1","downstream"
"9","0","1","downstream"
"10","1","1","downstream"
"11","0","1","downstream"
"12","2","1","downstream"
"13","1","0","downstream"
"14","2","2","downstream"
"15","0","0","downstream"
"16","1","0","downstream"
"17","2","0","downstream"
"18","1","0","downstream"
"19","0","0","downstream"
"20","0","1","downstream"
"21","0","1","downstream"
"1","1","0","downstream"
"2","2","0","downstream"
"3","1","1","downstream"
"4","2","0","downstream"
"5","0","0","downstream"
"6","1","1","downstream"
"7","2","0","downstream"
"8","1","2","downstream"
"9","2","0","downstream"
"11","0","0","downstream"
"12","2","1","downstream"
"13","1","0","downstream"
"14","1","1","downstream"
"15","0","0","downstream"
"16","0","1","downstream"
"17","1","0","downstream"
"18","0","0","downstream"
"19","0","0","downstream"
"20","0","2","downstream"
"21","1","1","downstream"
"2","1","1","downstream"
"4","0","0","downstream"
"5","0","0","downstream"
"7","0","0","downstream"
"9","2","0","downstream"
"11","0","0","downstream"
"12","1","0","downstream"
"13","0","0","downstream"
"14","1","1","downstream"
"15","0","0","downstream"
"16","0","1","downstream"
"17","0","0","downstream"
"18","0","0","downstream"
"19","0","0","downstream"
"20","0","2","downstream"
"21","0","2","downstream"
"1","0","0","upstream"
"2","1","0","upstream"
"3","2","0","upstream"
"4","0","0","upstream"
"5","0","0","upstream"
"6","0","1","upstream"
"7","0","0","upstream"
"8","0","1","upstream"
"9","1","0","upstream"
"10","0","0","upstream"
"11","1","0","upstream"
"12","0","0","upstream"
"13","0","0","upstream"
"14","0","0","upstream"
"15","0","1","upstream"
"16","0","0","upstream"
"17","0","0","upstream"
"18","0","0","upstream"
"19","0","0","upstream"
"20","0","1","upstream"
"21","0","0","upstream"
"1","0","0","upstream"
"2","0","0","upstream"
"3","0","0","upstream"
"4","0","0","upstream"
"5","0","0","upstream"
"6","0","1","upstream"
"7","0","0","upstream"
"8","0","0","upstream"
"9","0","1","upstream"
"10","1","0","upstream"
"11","0","0","upstream"
"12","0","0","upstream"
"13","0","0","upstream"
"14","0","0","upstream"
"15","0","0","upstream"
"16","0","0","upstream"
"17","0","0","upstream"
"18","0","0","upstream"
"19","0","0","upstream"
"20","0","1","upstream"
"21","0","1","upstream"
"1","2","1","upstream"
"2","0","1","upstream"
"3","0","1","upstream"
"4","0","1","upstream"
"5","1","1","upstream"
"6","1","1","upstream"
"7","0","1","upstream"
"8","0","1","upstream"
"9","0","0","upstream"
"10","1","1","upstream"
"11","0","0","upstream"
"12","0","0","upstream"
"13","0","1","upstream"
"14","0","0","upstream"
"15","0","0","upstream"
"16","0","1","upstream"
"17","0","0","upstream"
"18","0","1","upstream"
"19","0","1","upstream"
"20","0","2","upstream"
"21","1","2","upstream"
"1","2","0","upstream"
"2","1","1","upstream"
"3","1","1","upstream"
"4","0","1","upstream"
"5","2","0","upstream"
"6","2","2","upstream"
"7","0","1","upstream"
"8","2","2","upstream"
"9","2","1","upstream"
"10","2","2","upstream"
"11","2","1","upstream"
"12","2","1","upstream"
"13","0","0","upstream"
"14","2","1","upstream"
"16","1","1","upstream"
"17","0","0","upstream"
"18","1","1","upstream"
"19","0","2","upstream"
"20","0","2","upstream"
"21","2","2","upstream"
"2","1","1","upstream"
"3","1","1","upstream"
"4","0","1","upstream"
"5","2","0","upstream"
"6","2","2","upstream"
"7","0","1","upstream"
"8","2","0","upstream"
"9","2","0","upstream"
"11","2","1","upstream"
"12","2","2","upstream"
"13","0","0","upstream"
"14","2","1","upstream"
"16","1","2","upstream"
"17","0","0","upstream"
"18","1","2","upstream"
"19","0","2","upstream"
"20","0","2","upstream"
"21","2","0","upstream"
"2","1","2","upstream"
"3","1","1","upstream"
"4","0","1","upstream"
"5","2","0","upstream"
"7","0","0","upstream"
"9","2","0","upstream"
"11","2","0","upstream"
"12","2","2","upstream"
"13","0","0","upstream"
"14","2","2","upstream"
"16","1","2","upstream"
"17","0","0","upstream"
"18","1","1","upstream"
"19","1","2","upstream"
"20","1","2","upstream"
"21","2","2","upstream"
